n;k;m
1687;100;198
1688;100;197
1689;100;198
1690;100;199
1691;100;198
1692;100;191
1693;100;197
1694;100;195
1695;100;194
1696;100;202
1697;100;196
1698;100;194
1699;100;207
1700;100;204
1701;100;199
1702;100;202
1703;100;197
1704;100;192
1705;100;201
1706;100;208
1707;100;212
1708;100;204
1709;100;198
1710;100;203
1711;100;199
1712;100;201
1713;100;192
1714;100;201
1715;100;200
1716;100;206
1717;100;202
1718;100;192
1719;100;203
1720;100;196
1721;100;205
1722;100;204
1723;100;206
1724;100;203
1725;100;205
1726;100;200
1727;100;204
1728;100;205
1729;100;198
1730;100;194
1731;100;198
1732;100;204
1733;100;201
1734;100;203
1735;100;200
1736;100;204
1737;100;203
1738;100;208
1739;100;196
1740;100;206
1741;100;200
1742;100;203
1743;100;202
1744;100;199
1745;100;206
1746;100;211
1747;100;195
1748;100;195
1749;100;204
1750;100;196
1751;100;196
1752;100;213
1753;100;205
1754;100;205
1755;100;206
1756;100;200
1757;100;204
1758;100;210
1759;100;196
1760;100;206
1761;100;207
1762;100;212
1763;100;202
1764;100;201
1765;100;203
1766;100;199
1767;100;203
1768;100;205
1769;100;202
1770;100;208
1771;100;199
1772;100;201
1773;100;202
1774;100;205
1775;100;203
1776;100;198
1777;100;198
1778;100;216
1779;100;200
1780;100;210
1781;100;196
1782;100;204
1783;100;194
1784;100;201
1785;100;197
1786;100;201
1787;100;201
1788;100;206
1789;100;200
1790;100;200
1791;100;204
1792;100;207
1793;100;208
1794;100;199
1795;100;199
1796;100;206
1797;100;192
1798;100;206
1799;100;201
1800;100;202
1801;100;200
1802;100;201
1803;100;205
1804;100;203
1805;100;200
1806;100;203
1807;100;202
1808;100;206
1809;100;203
1810;100;201
1811;100;218
1812;100;208
1813;100;207
1814;100;208
1815;100;202
1816;100;200
1817;100;211
1818;100;199
1819;100;205
1820;100;201
1821;100;201
1822;100;198
1823;100;200
1824;100;220
1825;100;207
1826;100;197
1827;100;207
1828;100;205
1829;100;205
1830;100;198
1831;100;205
1832;100;206
1833;100;195
1834;100;207
1835;100;206
1836;100;202
1837;100;204
1838;100;214
1839;100;200
1840;100;208
1841;100;209
1842;100;209
1843;100;206
1844;100;196
1845;100;205
1846;100;202
1847;100;198
1848;100;205
1849;100;203
1850;100;200
1851;100;213
1852;100;208
1853;100;206
1854;100;203
1855;100;197
1856;100;203
1857;100;202
1858;100;205
1859;100;202
1860;100;208
1861;100;205
1862;100;205
1863;100;206
1864;100;203
1865;100;214
1866;100;196
1867;100;203
1868;100;196
1869;100;212
1870;100;204
1871;100;208
1872;100;202
1873;100;194
1874;100;196
1875;100;209
1876;100;208
1877;100;201
1878;100;209
1879;100;211
1880;100;208
1881;100;202
1882;100;204
1883;100;212
1884;100;200
1885;100;205
1886;100;211
1887;100;207
1888;100;209
1889;100;204
1890;100;206
1891;100;197
1892;100;205
1893;100;205
1894;100;204
1895;100;210
1896;100;211
1897;100;216
1898;100;209
1899;100;208
1900;100;205
1901;100;206
1902;100;210
1903;100;205
1904;100;213
1905;100;202
1906;100;197
1907;100;202
1908;100;213
1909;100;216
1910;100;205
1911;100;201
1912;100;208
1913;100;211
1914;100;223
1915;100;206
1916;100;203
1917;100;211
1918;100;208
1919;100;198
1920;100;204
1921;100;204
1922;100;206
1923;100;206
1924;100;220
1925;100;205
1926;100;204
1927;100;206
1928;100;203
1929;100;219
1930;100;208
